sample	country	year	site	latitude	longitude	kelch13_C580Y	crt_N75E	crt_K76T	crt_I356T	mdr1_N86Y	mdr1_Y184F	dhfr_N51I	dhfr_C59R	dhfr_S108N	dhps_A437G	dhps_K540E	import_linked
CAM19	Cambodia	2019	Pursat	12.507210508469024	103.75196870460749	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM20	Cambodia	2019	Pailin	12.685103756861752	102.73011855756494	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM21	Cambodia	2019	Pailin	12.998650834240689	102.70863085366103	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM22	Cambodia	2019	Pailin	12.716898058542261	102.64643226461334	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM23	Cambodia	2019	Pailin	12.873337161828145	102.6437377193458	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM24	Cambodia	2019	Battambang	13.204285755589638	103.24471910975494	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM25	Cambodia	2019	Pursat	12.665782712614378	103.93351581389778	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM26	Cambodia	2019	Battambang	13.087823879737996	103.32625764516771	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM27	Cambodia	2019	Pailin	12.558568836028867	102.53606575672853	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM28	Cambodia	2019	Pailin	12.75592546914144	102.47222443035133	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM29	Cambodia	2019	Pailin	12.794971549754663	102.89898826224687	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM30	Cambodia	2019	Pursat	12.35683377686135	104.11365567091829	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA01	Thailand	2019	Sisaket	14.76342604567684	104.26302299400284	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA02	Thailand	2019	Kanchanaburi	14.052550613021001	99.64724446627186	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA03	Thailand	2019	Kanchanaburi	14.16224531595857	99.68866944703998	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA04	Thailand	2019	Kanchanaburi	13.950254985550313	99.4375296414671	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA05	Thailand	2019	Sisaket	15.27159517625143	104.29173913502368	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA06	Thailand	2019	Sisaket	14.844862735332415	104.1033425571993	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA07	Thailand	2019	Sisaket	14.916109542799678	104.42943214881075	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA08	Thailand	2019	Sisaket	15.128485147214112	104.46809707081356	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA09	Thailand	2019	Kanchanaburi	13.934549470732692	99.56170793821535	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA10	Thailand	2019	Kanchanaburi	14.145118078793466	99.46813069205595	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA11	Thailand	2019	Sisaket	15.191355047511482	104.19761481178666	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA12	Thailand	2019	Sisaket	15.027389230686985	104.25365242120033	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA13	Thailand	2019	Sisaket	14.860832070882191	104.42739449615712	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA14	Thailand	2019	Kanchanaburi	13.926119531959454	99.53249882374554	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA15	Thailand	2019	Sisaket	15.196149331781182	104.419306235206	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA16	Thailand	2019	Kanchanaburi	14.153077021794557	99.51030290309812	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA17	Thailand	2019	Sisaket	15.01534033759117	104.31405635781871	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA18	Thailand	2019	Kanchanaburi	13.682533113208393	99.24057750551539	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA19	Thailand	2019	Sisaket	14.835460077529119	104.1305506344797	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA20	Thailand	2019	Kanchanaburi	14.099954845344687	99.34890418892799	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA21	Thailand	2019	Sisaket	15.024367489192121	104.58984565955721	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA22	Thailand	2019	Sisaket	15.028747205787715	104.47750311369342	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA23	Thailand	2019	Sisaket	14.913276463998024	104.28891248842648	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA24	Thailand	2019	Sisaket	14.909995589017884	104.26219338481988	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA25	Thailand	2019	Sisaket	15.268061627491479	103.98453591536153	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA26	Thailand	2019	Sisaket	15.18688472870917	104.37754712046646	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA27	Thailand	2019	Sisaket	14.98117000886064	104.0407884291223	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA28	Thailand	2019	Kanchanaburi	14.034425901542773	99.42410145818724	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA29	Thailand	2019	Kanchanaburi	14.066535242270941	99.53437042910468	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
THA30	Thailand	2019	Kanchanaburi	14.340355778264183	99.48212887450539	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO01	Laos	2019	Savannakhet	16.365300501475627	104.78585512699127	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO02	Laos	2019	Savannakhet	16.613999336794354	105.02183751504809	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO03	Laos	2019	Savannakhet	16.737022249182917	104.8213742118299	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO04	Laos	2019	Savannakhet	16.86266057824391	104.51224738913542	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO05	Laos	2019	Champasak	14.77204969345005	105.7146848117189	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO06	Laos	2019	Champasak	14.822038039368847	105.62466277048874	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO07	Laos	2019	Savannakhet	16.69703018936288	104.70555546058024	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO08	Laos	2019	Champasak	14.605838741099468	105.6968841837585	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO09	Laos	2019	Savannakhet	16.632702769490038	104.91762531357888	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO10	Laos	2019	Savannakhet	16.96934617833836	105.33277249320146	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO11	Laos	2019	Savannakhet	16.652881886655198	104.55209237599362	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO12	Laos	2019	Champasak	14.47359074385374	105.95354229246877	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO13	Laos	2019	Champasak	14.737411780937935	105.81692854796407	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO14	Laos	2019	Savannakhet	16.44758064018804	104.72184182271673	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO15	Laos	2019	Savannakhet	16.783196046157528	104.78140971348907	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO16	Laos	2019	Champasak	14.868273032592263	105.69286924943485	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO17	Laos	2019	Champasak	14.565063411059128	105.80273841818534	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO18	Laos	2019	Savannakhet	16.559243489836337	105.10358598271597	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO19	Laos	2019	Savannakhet	16.596054904294576	104.94654790220461	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO20	Laos	2019	Champasak	14.80014088029217	105.66301124671661	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO21	Laos	2019	Champasak	14.706976647553526	105.75495478709286	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO22	Laos	2019	Savannakhet	16.995693946487034	104.58572266415513	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO23	Laos	2019	Champasak	15.06769784074727	105.7194145643826	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO24	Laos	2019	Champasak	15.086314602574848	105.97699019322118	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO25	Laos	2019	Champasak	14.868672420468382	105.89184749477292	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO26	Laos	2019	Champasak	14.769042460914122	105.98921444029642	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO27	Laos	2019	Savannakhet	16.479003303931844	104.50487884724654	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO28	Laos	2019	Champasak	14.644412485136076	105.93451758354443	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO29	Laos	2019	Savannakhet	16.88581825128209	104.78199832271468	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
LAO30	Laos	2019	Champasak	14.876272334778024	105.95716522792051	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
NAM001	Namibia	2024	KavangoEast	-17.738799651658635	21.54387650027277	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM002	Namibia	2024	Zambezi	-17.582185446166747	24.52125774201198	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM003	Namibia	2024	Zambezi	-17.41424871230768	24.607151198399198	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM004	Namibia	2024	KavangoWest	-18.363353112555618	19.355106193655903	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM005	Namibia	2024	KavangoWest	-18.673631839849133	19.93018558644625	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM006	Namibia	2024	Zambezi	-17.15526685584334	24.26409615734348	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM007	Namibia	2024	KavangoWest	-18.476637464227196	19.892288858448442	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM008	Namibia	2024	Zambezi	-17.7214091364087	24.121054596208836	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM009	Namibia	2024	Zambezi	-17.37133464106219	24.22107897542808	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM010	Namibia	2024	KavangoEast	-18.001024373344013	21.467311420295097	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM011	Namibia	2024	KavangoWest	-18.332485090240212	19.881496372262745	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM012	Namibia	2024	Zambezi	-17.48188301861965	24.42878775865537	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM013	Namibia	2024	Zambezi	-17.910034420206205	24.290256319613977	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM014	Namibia	2024	Zambezi	-17.668646054058573	24.056237387915274	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM015	Namibia	2024	Zambezi	-17.675630473385752	24.23317531185984	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM016	Namibia	2024	Zambezi	-17.316819491528797	24.03472145645209	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM017	Namibia	2024	KavangoWest	-18.393873701481116	19.503166113333286	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM018	Namibia	2024	Zambezi	-17.56553461887239	24.50055156506092	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM019	Namibia	2024	KavangoEast	-17.892376912599214	21.767479621488548	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM020	Namibia	2024	Zambezi	-17.53090113584998	24.16081147766586	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM021	Namibia	2024	Zambezi	-17.5447717633761	24.348499358254244	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM022	Namibia	2024	Zambezi	-17.46468532830926	24.083122385553327	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM023	Namibia	2024	KavangoEast	-17.981902043674424	21.54564566602778	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM024	Namibia	2024	KavangoWest	-17.896505192493215	19.975368922256337	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM025	Namibia	2024	Zambezi	-17.670648670111763	24.242523327690165	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM026	Namibia	2024	Zambezi	-17.7926884003674	24.181858597207302	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM027	Namibia	2024	KavangoEast	-17.93687899928193	21.741170724177646	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM028	Namibia	2024	Zambezi	-17.645816767548723	24.169170711986443	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM029	Namibia	2024	KavangoEast	-18.42945780594773	21.46746681589102	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM030	Namibia	2024	KavangoEast	-18.212482882371912	21.394112114526784	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM031	Namibia	2024	KavangoEast	-18.175372155633518	21.48114748914949	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM032	Namibia	2024	KavangoWest	-18.751545678271324	19.3065909509218	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM033	Namibia	2024	Zambezi	-17.07415057759434	24.042515483745195	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM034	Namibia	2024	KavangoWest	-18.619357115690928	19.967382705664264	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM035	Namibia	2024	KavangoWest	-17.818986566151917	19.365686674234933	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM036	Namibia	2024	KavangoEast	-18.073649791357607	21.5683111101881	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM037	Namibia	2024	Zambezi	-17.15426047111888	24.102628584314353	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM038	Namibia	2024	Zambezi	-17.549055569188422	24.455467515212348	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM039	Namibia	2024	KavangoWest	-18.313046785106675	19.52476878575398	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM040	Namibia	2024	Zambezi	-17.52676459290321	24.025020838326004	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM041	Namibia	2024	KavangoWest	-18.447634748794933	19.54672250199821	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM042	Namibia	2024	Zambezi	-17.45356602207475	24.188934556236198	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM043	Namibia	2024	KavangoWest	-18.30569229549097	19.802543163563968	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM044	Namibia	2024	Zambezi	-17.468914134466306	24.37035128167984	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM045	Namibia	2024	KavangoEast	-17.989368930484428	21.500016878618283	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM046	Namibia	2024	Zambezi	-17.64431160670857	24.363298852334662	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM047	Namibia	2024	KavangoWest	-18.419457319682696	20.01863366178612	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM048	Namibia	2024	Zambezi	-17.18532901950495	24.377169310511302	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM049	Namibia	2024	KavangoWest	-18.552611441938954	19.377517705603317	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM050	Namibia	2024	KavangoWest	-18.161771409382226	19.65254984502943	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM051	Namibia	2024	Zambezi	-17.403971319321677	23.95108280260516	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM052	Namibia	2024	KavangoWest	-18.214512303688362	19.690884067642873	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM053	Namibia	2024	KavangoWest	-18.622086136882896	19.505695038510012	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM054	Namibia	2024	KavangoEast	-17.947256559128697	21.510493359671248	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM055	Namibia	2024	Zambezi	-17.55843423716071	24.27930234638681	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM056	Namibia	2024	Zambezi	-17.550395475641377	24.330512502420493	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM057	Namibia	2024	KavangoEast	-17.70570160540137	20.98666831181374	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM058	Namibia	2024	Zambezi	-17.547370052901936	24.33530248427449	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM059	Namibia	2024	Zambezi	-17.44080120206258	24.22561708373574	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM060	Namibia	2024	KavangoWest	-18.751344356495714	19.665599096742824	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM061	Namibia	2024	Zambezi	-17.154529957167163	23.993227719016772	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM062	Namibia	2024	KavangoWest	-18.22723439726036	19.534294955375422	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM063	Namibia	2024	Zambezi	-17.51226486916577	24.08942029785921	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM064	Namibia	2024	Zambezi	-17.566891234471175	24.560008918939793	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM065	Namibia	2024	KavangoEast	-17.88346895160246	21.84646232108199	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM066	Namibia	2024	KavangoEast	-17.764517622204462	21.587817335785914	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM067	Namibia	2024	KavangoWest	-18.05121309476644	19.68779863174766	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM068	Namibia	2024	KavangoWest	-18.234402364640587	19.54068580929306	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM069	Namibia	2024	KavangoWest	-18.38669083682816	19.460515235339948	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM070	Namibia	2024	KavangoWest	-18.20208321308103	19.364339275377027	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM071	Namibia	2024	Zambezi	-17.343529931516468	24.26186978849897	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM072	Namibia	2024	KavangoEast	-17.765750581306538	21.650173797746252	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM073	Namibia	2024	KavangoWest	-18.035870768470637	19.74615493822773	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM074	Namibia	2024	KavangoEast	-18.31440805113065	21.48660936542036	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM075	Namibia	2024	Zambezi	-17.73440143851896	24.196344031526746	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM076	Namibia	2024	KavangoWest	-18.097754313344655	19.72750676217954	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM077	Namibia	2024	KavangoWest	-18.539786085715747	19.39725652671192	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM078	Namibia	2024	KavangoEast	-17.99344358142475	21.256687970123775	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM079	Namibia	2024	KavangoWest	-18.534228055479314	19.66240189431025	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM080	Namibia	2024	Zambezi	-17.26893759277866	24.42175229444489	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM081	Namibia	2024	KavangoEast	-18.45825790171962	21.56087334580605	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM082	Namibia	2024	KavangoEast	-17.985593285353485	21.58277805707454	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM083	Namibia	2024	KavangoWest	-18.076758063669757	19.187352344639052	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM084	Namibia	2024	Zambezi	-17.61822068503822	24.418181264558672	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM085	Namibia	2024	KavangoEast	-18.316318879890787	21.7951898096107	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM086	Namibia	2024	KavangoEast	-17.926328677459868	21.66931679716868	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM087	Namibia	2024	KavangoWest	-18.51418873230436	19.762752737993242	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM088	Namibia	2024	KavangoEast	-17.78630568880219	21.546575604027435	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM089	Namibia	2024	Zambezi	-17.453119821460263	24.354068647856344	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM090	Namibia	2024	KavangoWest	-18.572669052947877	19.570494263951932	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM091	Namibia	2024	KavangoEast	-18.030504506490473	21.5766787728707	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM092	Namibia	2024	KavangoWest	-18.20003515061794	19.38829278360432	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM093	Namibia	2024	KavangoEast	-18.025001806063916	21.796291109531793	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM094	Namibia	2024	KavangoEast	-18.148717645762513	21.335549996541936	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM095	Namibia	2024	KavangoWest	-18.35953876163376	19.768877038097067	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM096	Namibia	2024	KavangoWest	-18.397714788887868	19.8657921180874	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM097	Namibia	2024	KavangoWest	-18.228641203486692	19.768364013378015	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM098	Namibia	2024	KavangoEast	-17.88917669973518	21.965530620069217	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM099	Namibia	2024	KavangoWest	-18.44103233777321	19.1992955415867	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM100	Namibia	2024	KavangoEast	-17.679149127696572	21.408460113808633	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM101	Namibia	2024	Zambezi	-17.478423911131394	24.561910136972106	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM102	Namibia	2024	Zambezi	-17.820451908211783	24.04967055717877	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM103	Namibia	2024	Zambezi	-17.82025558742377	24.141172741994914	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM104	Namibia	2024	KavangoWest	-18.3120726787966	19.704837568562557	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM105	Namibia	2024	Zambezi	-17.44474516413429	24.017446823221526	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM106	Namibia	2024	KavangoWest	-18.862020687326527	19.61087071707808	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM107	Namibia	2024	KavangoWest	-18.494355206727665	19.691877154343324	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM108	Namibia	2024	KavangoWest	-18.259609274755743	19.627648286411738	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM109	Namibia	2024	KavangoWest	-18.247973382924826	19.645842274823014	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM110	Namibia	2024	Zambezi	-17.393987058879706	24.159065347426026	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM111	Namibia	2024	Zambezi	-17.535922282766293	24.33935521933139	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM112	Namibia	2024	KavangoWest	-18.235894304916513	19.521251765555085	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM113	Namibia	2024	Zambezi	-17.395766548853576	24.246832241616925	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM114	Namibia	2024	KavangoWest	-18.423508433465624	19.765903808404815	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM115	Namibia	2024	KavangoEast	-18.39861207421083	21.240705534385047	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM116	Namibia	2024	KavangoEast	-18.296437079488562	21.033276776030338	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM117	Namibia	2024	KavangoEast	-18.135652888031036	21.649886779945547	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM118	Namibia	2024	KavangoWest	-18.456976813276512	19.63955801638837	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM119	Namibia	2024	Zambezi	-17.28215650065784	24.56553722645354	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM120	Namibia	2024	KavangoEast	-18.01382758694523	21.77071717791388	Y	E	T	T	Y	F	I	R	N	G	E	True
NAM121	Namibia	2024	KavangoEast	-17.98157466831318	21.332520355234507	Y	E	T	T	Y	F	I	R	N	G	E	True
